ListName,Code,SortCode,PctValue,PctValue2,CodeDescription,PctLower,PctUpper,AbuLower,AbuUpper,AbuMax,AbuDenom,AbuDescription,LocalLower,LocalUpper
Pct-1,59,590,59.0,59.00,,59.0,59.00,,,,,,,
Pct-1,60,600,60.0,60.00,,60.0,60.00,,,,,,,
Pct-1,61,610,61.0,61.00,,61.0,61.00,,,,,,,
Pct-1,62,620,62.0,62.00,,62.0,62.00,,,,,,,
Pct-1,63,630,63.0,63.00,,63.0,63.00,,,,,,,
Pct-1,64,640,64.0,64.00,,64.0,64.00,,,,,,,
Pct-1,65,650,65.0,65.00,,65.0,65.00,,,,,,,
Pct-1,66,660,66.0,66.00,,66.0,66.00,,,,,,,
Pct-1,67,670,67.0,67.00,,67.0,67.00,,,,,,,
Pct-1,68,680,68.0,68.00,,68.0,68.00,,,,,,,
Pct-1,69,690,69.0,69.00,,69.0,69.00,,,,,,,
Pct-1,70,700,70.0,70.00,,70.0,70.00,,,,,,,
Pct-1,71,710,71.0,71.00,,71.0,71.00,,,,,,,
Pct-1,72,720,72.0,72.00,,72.0,72.00,,,,,,,
Pct-1,73,730,73.0,73.00,,73.0,73.00,,,,,,,
Pct-1,74,740,74.0,74.00,,74.0,74.00,,,,,,,
Pct-1,75,750,75.0,75.00,,75.0,75.00,,,,,,,
Pct-1,76,760,76.0,76.00,,76.0,76.00,,,,,,,
Pct-1,77,770,77.0,77.00,,77.0,77.00,,,,,,,
Pct-1,78,780,78.0,78.00,,78.0,78.00,,,,,,,
Pct-1,79,790,79.0,79.00,,79.0,79.00,,,,,,,
Pct-1,80,800,80.0,80.00,,80.0,80.00,,,,,,,
Pct-1,81,810,81.0,81.00,,81.0,81.00,,,,,,,
Pct-1,82,820,82.0,82.00,,82.0,82.00,,,,,,,
Pct-1,83,830,83.0,83.00,,83.0,83.00,,,,,,,
Pct-1,84,840,84.0,84.00,,84.0,84.00,,,,,,,
Pct-1,85,850,85.0,85.00,,85.0,85.00,,,,,,,
Pct-1,86,860,86.0,86.00,,86.0,86.00,,,,,,,
Pct-1,87,870,87.0,87.00,,87.0,87.00,,,,,,,
Pct-1,88,880,88.0,88.00,,88.0,88.00,,,,,,,
Pct-1,89,890,89.0,89.00,,89.0,89.00,,,,,,,
Pct-1,90,900,90.0,90.00,,90.0,90.00,,,,,,,
Pct-1,91,910,91.0,91.00,,91.0,91.00,,,,,,,
Pct-1,92,920,92.0,92.00,,92.0,92.00,,,,,,,
Pct-1,93,930,93.0,93.00,,93.0,93.00,,,,,,,
Pct-1,94,940,94.0,94.00,,94.0,94.00,,,,,,,
Pct-1,95,950,95.0,95.00,,95.0,95.00,,,,,,,
Pct-1,96,960,96.0,96.00,,96.0,96.00,,,,,,,
Pct-1,97,970,97.0,97.00,,97.0,97.00,,,,,,,
Pct-1,98,980,98.0,98.00,,98.0,98.00,,,,,,,
Pct-1,99,990,99.0,99.00,,99.0,99.00,,,,,,,
Pct-1,100,1000,100.0,100.00,,100.0,100.00,,,,,,,
Pct-10,0,10,0.0,2.50,,0.0,5.00,,,,,,,
Pct-10,10,20,10.0,10.00,,5.0,15.00,,,,,,,
Pct-10,20,30,20.0,20.00,,15.0,25.00,,,,,,,
Pct-10,30,40,30.0,30.00,,25.0,35.00,,,,,,,
Pct-10,40,50,40.0,40.00,,35.0,45.00,,,,,,,
Pct-10,50,60,50.0,50.00,,45.0,55.00,,,,,,,
Pct-10,60,70,60.0,60.00,,55.0,65.00,,,,,,,
Pct-10,70,80,70.0,70.00,,65.0,75.00,,,,,,,
Pct-10,80,90,80.0,80.00,,75.0,85.00,,,,,,,
Pct-10,90,100,90.0,90.00,,85.0,95.00,,,,,,,
Pct-10,100,110,100.0,97.50,,95.0,100.00,,,,,,,
Pct-5,0,10,0.0,1.25,,0.0,2.50,,,,,,,
Pct-5,5,20,5.0,5.00,,2.5,7.50,,,,,,,
Pct-5,10,30,10.0,10.00,,7.5,12.50,,,,,,,
Pct-5,15,40,15.0,15.00,,12.5,17.50,,,,,,,
Pct-5,20,50,20.0,20.00,,17.5,22.50,,,,,,,
Pct-5,25,60,25.0,25.00,,22.5,27.50,,,,,,,
Pct-5,30,70,30.0,30.00,,27.5,32.50,,,,,,,
Pct-5,35,80,35.0,35.00,,32.5,37.50,,,,,,,
Pct-5,40,90,40.0,40.00,,37.5,42.50,,,,,,,
Pct-5,45,100,45.0,45.00,,42.5,47.50,,,,,,,
Pct-5,50,110,50.0,50.00,,47.5,52.50,,,,,,,
Pct-5,55,120,55.0,55.00,,52.5,57.50,,,,,,,
Pct-5,60,130,60.0,60.00,,57.5,62.50,,,,,,,
Pct-5,65,140,65.0,65.00,,62.5,67.50,,,,,,,
Pct-5,70,150,70.0,70.00,,67.5,72.50,,,,,,,
Pct-5,75,160,75.0,75.00,,72.5,77.50,,,,,,,
Pct-5,80,170,80.0,80.00,,77.5,82.50,,,,,,,
Pct-5,85,180,85.0,85.00,,82.5,87.50,,,,,,,
Pct-5,90,190,90.0,90.00,,87.5,92.50,,,,,,,
Pct-5,95,200,95.0,95.00,,92.5,97.50,,,,,,,
Pct-5,100,210,100.0,98.75,,97.5,100.00,,,,,,,
Provoost Decimaal,+,10,2.0,2.50,,0.0,5.00,,,,,,,
Provoost Decimaal,1,20,10.0,10.00,,5.0,15.00,,,,,,,
Provoost Decimaal,1-,30,7.0,7.50,,5,10.00,,,,,,,
Provoost Decimaal,1+,40,12.0,12.50,,10,15.00,,,,,,,
Provoost Decimaal,2,60,20.0,20.00,,15.0,25.00,,,,,,,
Provoost Decimaal,3,70,30.0,30.00,,25.0,35.00,,,,,,,
Provoost Decimaal,4,80,40.0,40.00,,35.0,45.00,,,,,,,
Provoost Decimaal,5,90,50.0,50.00,,45.0,55.00,,,,,,,
Provoost Decimaal,6,100,60.0,60.00,,55.0,65.00,,,,,,,
Provoost Decimaal,7,110,70.0,70.00,,65.0,75.00,,,,,,,
Provoost Decimaal,8,120,80.0,80.00,,75.0,85.00,,,,,,,
Provoost Decimaal,9,130,90.0,90.00,,85.0,95.00,,,,,,,
Provoost Decimaal,10,150,100.0,97.50,,95.0,100.00,,,,,,,
Beheermonitoringsschaal2021,S,,0.5,0.06,schaars,0,5.00,1,4,100,400 m2,schaars,,
Beheermonitoringsschaal2021,WT,,1.5,1.30,weinig talrijk,0,5.00,5,99,100,400 m2,weinig talrijk,,
Beheermonitoringsschaal2021,T,,3.5,2.50,talrijk,0,5.00,100,,,400 m2,talrijk,,
Beheermonitoringsschaal2021,B,,15.0,15.00,bedekkend,5,25.00,,,,,,,
Beheermonitoringsschaal2021,KB,,37.5,37.50,kwart bedekkend,25,50.00,,,,,,,
Beheermonitoringsschaal2021,HB,,62.5,62.50,half bedekkend,50,75.00,,,,,,,
Beheermonitoringsschaal2021,D,,87.5,87.50,dominant,75,100.00,,,,,,,
